Bisaya Word,English Translation,Notes/Context
arinila,chamber pot,n
aristukrata,"snooty, snobbish in behavior",a
aritmitik,arithmetic,n
ariyus,1 earrings,n
arka,1 Noah’s ark,n
arkanghil,archangel,n
arkitiktu,architect,n
armada,armada,n
armamintu,armament,n
armas,"1 arms, weapon",n
armikat,crew cut,n
armistisyu,armistice,n
arsubispu,archbishop,n
artiliyireya,artillery,n
artista,"actor, actress",n
aruk,money,n
asadu,"roasted, broiled rare",a
asayti,lubricating oil,n
asbistus,asbestos,n
asgad,very salty,a
asinda,plantation,n
asinsiyun,Ascension Day,n
aseras,sidewalk,n
aseru,1 steel,n
asitera,oil can,n
asitun,acetone,n
aslum,1 sour,a
aspaltu,asphalt,n
asparagus,asparagus,n
aspera ultima,= mansanilya,n
aspiranti,aspirant for a position,n
aspirasiyun,aspiration,n
astri,ash tray,n
astrunawta,astronaut,n
astrunumeya,astronomy,n
astrunumu,astronomer,n
astrunut,astronaut,n
asu,1 smoke,n
asigi,head of a match,n
asikar,refined sugar,n
asuntu,1 court case,n
asupli,sulphur,n
asusasiyun,"association, organization",n
asuteya,open porch,n
asyinda,1 plantation,n
asyus,"finicky, fussy",a
asyisu,1 = asyus,a
atabay,open well,n
atay,1 liver,n
atindedu,"1 attentive, courteous",a
atinsiyun,"1 attention, special care",n
atleta,athlete,n
atmuspera,atmosphere surrounding the earth,n
atraksiyun,"attraction, s",n
atraktebu,attractive,a
atras,1 rear wheel,n
atrasadu,"late, not on time",a
atsa,"axe, hatchet",n
atug,clitoris,n
atuli,1 earwax,n
atumika,"atomic, nuclear",a
atup,1 roof,n
aturni,"1 public attorney, lawyer",n
atutung,blackening of the teeth,n
awaaw,deserted place,a
awdisyun,audition,n
awditebu,telephone receiver,n
awditur,auditor,n
awdituryum,auditorium,n
awstriyanhun,Austrian,n
awtburd,outboard motor or motorboat,n
awting,outing,n
awtlit,1 drain for liquids,n
awtunumeya,autonomy,n
awturisasyun,authorization,n
awutsayid,out of bounds,n
ayang-ang,"in full view, uncovered",a
ay-ar payib,"IR5, k",n
aybru,1 eyebrow,n
ayda,kerosene pressure lantern,n
aydi,identification card,n
ayruplanu,airplane,n
aysyid,eye shadow,n
ayudi,intra-uterine device,n
babaw,place up s,n
babha,slash,n
babhir,bobbed hairstyle,n
babil,be bothered with s,a
babul gam,bubble gum,n
badigard,bodyguard,n
badmintun,badminton,n
badiduy,children’s word for genitalia,n
bag,"1 bag, pocketbook",n
bagamundu,1 vagrant,a
bag-ang,molars,n
bagansiya,vagrancy,n
bagay,"1 befitting, becoming",a
bagtak,calf of the leg,n
bagting,ringing noise,n
bagtuk,"hardened, crystallized",a
bagtus,small children,n
bag-u,1 new,a
bagun,1 wheelbarrow,n
bagyu,typhoon,n
bahada,1 downhill grade,a
bahadu,"1 below normal, low",a
bahag,G-string,n
bahilya,complete set of dishes,n
bahista,"bass fiddle, guitar player",n
bakak,"be a lie, false",a
bakalaw,codfish,n
bakang,1 bowlegged,a
bakanti,1 vacancy,n
bakasiyun,vacation,n
bakatin,wild pig,n
bakig,"very thin, emaciated",a
bakikaw,"awkward, graceless",a
bakilid,steeply sloping,a
baklaw,bracelet,n
bakpi,back pay,n
baksidur,boxer,n
baksing,boxing,n
baktirya,bacteria,n
bakul,crippled in the leg,a
bakus,1 belt,n
bakyanu,"skillful, adept",a
balaan,"holy, sacred",a
balakanan,doorsill,n
balak-ang,= balat-ang,n
balanghitaw,small crocodile,n
balaslikun,"naughty, mischievous",a
balat,1 sea cucumber,n
balbas,1 beard,n
baldi,1 pail,n
balhas,1 perspiration,n
bali,1 be worth it,a
balibul,1 volleyball,n
balidikturyan,1 valedictorian,n
balekas,curses,n
balikhaw,collarbone,n
baliktus,1 = baligtus,v
balingkit,hard to please,a
baletang,female sexual organ,n
balkun,front porch,n
balkuni,balcony in a moviehouse,n
balsi,waltz,n
balud,waves,n
balikat,"1 = lúkat, v",v
baluktut,hunchbacked,a
balungag,hunk of s,n
balingus,pubic hairs,n
balur,value,n
balita,"ballot for election, contest",n
baliyut,bag made of straw,n
balyena,whale,n
bampera,vampire,n
banaag,ray of light,n
banagan,lobster,n
banagbanag,daybreak,n
banal,"hardened, pressed solid",a
bandedu,"bandit, highwayman",n
bandi klak,time clock,n
bandera,"1 flag, banner",n
bandmidyurit,band majorette,n
banga,boring,a
banggietan,1 notorious,a
banghitaw,= balanghitaw,n
bangingi,"nagging, scolding repeatedly",a
bangis,fierce,a
bangkarita,bankrupt,a
bangkay,corpse,n
bangkbuk,bankbook,n
bangkil,"canine tooth, fangs",n
bangketi,banquet,n
bangketu,stool,n
bangkiwag,awkward,a
bangkeyu,1 toilet seat,n
bangkuleya,despondency over love,n
bangs,bangs,n
ban-id,band-aid,n
banilya,vanilla,n
banlun,1 ban-lon,n
bansay,"skillful, proficient",a
bantam,"bantam, compact car",a
bantam wit,bantamweight,n
bantawan,stage or platform,n
bantayug,monument,n
bantug,"famous, notorious",a
bantuk,1 hard and compact,a
banyu,bathroom,n
banyumareya,double boiler,n
banyus,medicine rubbed on one,n
bara,"1 steel bar, rod",n
baraderu,see bara1,n
baraha,playing card,n
barak,leg muscles,n
baratilyu,bargain sale,n
barbil,bar bell,n
barbir,barber,n
barberu,barber,n
barbityurits,barbiturates,n
bardadu,= baldádu,n
bardut,prostitute,a
barikus,varicose veins,n
baritun,1 = baritunu,n
baritunu n,baritone voice or s,a
barku,large ship,n
barnis,varnish,n
barteha,"1 plank, board",n
barumbadu,1 ill-mannered,a
baryabli,"changeable, fickle",a
basak,field of wet-cultivated rice,n
basilika,basilica,n
basilin,vaseline,n
baskit,1 basket,n
baskit bul,basketball game,n
bastiyan,1 man’s name,n
basu,1 drinking glass,n
basika,bazooka,n
basira,1 garbage,n
basureru,garbage collector,n
bat,baseball bat,n
batad,"sorghum, k",n
batakan,"1 measuring stick, ruler",n
batalya,1 battle,n
batalyun,battalion,n
batangbatang,hook of an earring,n
batid,"skilled, having specialized training",a
bateis,"1 leg, esp",n
batikanu,Vatican,n
batita,1 baton,n
batuwang,= batúan,n
bau,land or fresh-water turtle,n
bawhag,1 doing things unthinkingly,a
bawnsir,bouncer,n
bawtismu,baptism,n
bawut,evenly matched,a
bayat,"1 worn-out, dilapidated, esp",a
bayingbaying,praying mantis,n
baykarb,sodium bicarbonate,n
bayli,"dance, ball",n
baytamins,vitamins,n
bayud,"discolored, bruised, esp",a
bayulin,violin,n
bayulit,violet in color,n
bayumbu,"movable screen, room divider",n
bayung,1 adolescent cock,n
bayungad,1 for s,a
bayuneta,bayonet,n
bayirang,1 a k,n
bayut,1 sissy,n
bibirun,1 baby’s feeding bottle,n
bidlesiw,rays of the sun,n
bigal,"1 sow, mother pig",n
bigamya,bigamy,n
bigsyat,big shot,n
bigunya,"begonias, k",n
bigiti,mustache,n
bihikulu,motor vehicle,n
behu,"adept, skillful",a
behud,1 roe,n
beka,1 potsherd,n
bikarbunatu,sodium bicarbonate,n
bikaryu,officer of the church,n
bikeni,bikini,n
bikiri,bakery,n
biktima,victim of foul play,n
bikturyisu,victorious,a
bilar,"vigil, esp",n
belas,"eye infection, conjunctivitis",n
bilay,hanging screen,n
bilbatum,bell-bottom pants,n
bilding,building,n
bildu,glass,n
bilgas,Belgian nuns,n
biliyun,billion,n
bilt-in,built-in cabinet and shelves,n
bilyar,billiards,n
bimul,flat in music,n
bindahi,bandage,n
bindisiyun,"1 blessing, benediction",n
bindeta,holy water,n
binggala,"sparkler, k",n
binggu,bingo,n
bingit,throat infection,n
binibuy,homosexual man,n
bintanilya,"small window, e",n
bintarug,male genitalia,n
bintiladur,electric fan,n
bintilasyun,ventilation,n
benu,wine or hard liquor,n
benug,wet spongy ground,n
binyal,venial sin,n
biradur,1 screwdriver,n
biranda,veranda,n
biranu,summer time,n
birbal,"verbal, not written",n
birbu,1 verb,n
birdaderu,"real, genuine",a
birdi,1 green,a
birdigu,executioner,n
birhin,1 Virgin Mary,n
biriking,automatic drill,n
bering,bearings of a machine,n
birnis,Friday,n
birtibra,vertebra,n
birtikal,vertical,n
birtkuntrul,birth control,n
birtisu,virtuoso,n
bisagra,hinges,n
besap,bishop in chess,n
bisbul,baseball game,n
bisikleta,bicycle,n
biseta,"1 visitor, guest",n
biskundi,viscount,n
bisnis,1 business,n
bisti,clothing,n
bistu,1 visible,a
bisul,"yautia, k",n
bisung,woman’s genitalia,n
bisyu,1 vice,n
bitaki,Vitamin K,n
bitang,bench,n
bitin,snake,n
bitiranu,1 war veteran,n
bitirinaryu,veterinarian,n
bitsin,monosodium glutamate food seasoning,n
bitsuylas,= habitsuylas,n
bitut,female genital organ,n
bitiun,1 star,n
beu,body odor,n
biiung,female genitalia,n
blak-anwayit,black and white shoes,n
blak-awut,blackout in wartime,n
blak-ay,black eye,n
blakbiting,block voting,n
blakdyak,1 game of blackjack,n
blakhart,spades in cards,n
blakmarkit,black market,n
blangku,"blank, empty",a
blatir,1 blotting paper,n
bled,razor blade,n
bli,blue in color,a
blimir,bloomers,n
blisa,blouse,n
blisil,1 American smuggled cigarettes,n
bliwir,"blower, ventilating fan",n
bradir,brother in a fraternity,n
brandi,brandy,n
brasu,biceps,n
brawun,brown in color,a
brayids med,bridesmaid,n
brayit,"mentally quick, clever",a
brik,ice-cream brick,n
brilyantin,brilliantine,n
brinda,bridle,n
brep,brief or panty underwear,n
brislit,bracelet,n
britsis,short pants,n
brudklut,broadcloth,n
brungketis,bronchitis,n
brunsi,bronze,n
brutsa,brush,n
biang,"1 insane, crazy",a
buaya,1 crocodile,n
biba,= búbu1,n
bida,formal gown,n
budabil,1 vaudeville,n
budlat,bulging eyes,a
budlay,"tiring, tiresome",a
budlut,"sticking out, protruding",a
bugal,"braggart, boastful",a
bug-at,1 heavy,a
bugdu,"bulging, full and round",a
bigi,boogie,n
buging,small ear of corn,n
bugerit,"boastful, putting on airs",a
bugsay,"oar, paddle",n
bugtik,1 † 2,v
bugtung,"sole, lone",n
bugun,1 lump,n
buguy,"1 hoodlum, hooligan",n
biha,sleeve bearing for wheels,n
buhilaman,civilization,n
buhimyu,"philanderer, chasing after women",a
buhis,"1 taxes, license fee",n
buheyas,"watts, volts",n
buhuk,hair on the head,n
buhul,the island of Bohol,n
buhung,provided in abundance,a
bika,muzzle of a firearm,n
bukabularyu,vocabulary,n
bukabyirta,prone to revealing secrets,a
bikag,corncob,n
bukasyun,vocation,n
bukasyunal,vocational training course,n
buki,1 bouquet of flowers,n
biki digera,warship,n
bikid,mountain,n
buking,euphemism for buku1,a
biking ipis,booking office,n
buknul,"1 lump, s",n
buktun,"1 arms, esp",n
bukug,1 bone,n
bilak,"1 flower, blossom",n
bilan,1 moon,n
bulatsera,female habitual drunkard,a
bulbul,1 pubic hair,n
buldug,bulldog,n
buldisir,bulldozer,n
bulhay,for s,a
bulhun,= aláyun,n
bulibard,boulevard,n
bulebuy,1 cowlick,n
bulilyus,bowling pin,n
biling,bowling,n
bulinggit,stye in the eye,n
buleru,1 bolero music,n
buletas,ball bearings,n
bulkan,1 volcano,n
bulpin,ballpoint pen,n
buls-ay,bull’s-eye,n
bulseta,small bag,n
bultahi,voltage,n
bultimitru,voltmeter,n
bultu,1 large and bulging,n
bilud,low hill,n
buluungun,"pomelo, a k",n
bulyum,1 volume of sound,n
bim,boom of a ship,n
bumbardeyu,bombardment,n
bumbay,"1 Indian, Hindu",n
bumbil,bougainvillea,n
bumbilya,light bulb,n
bumbu,1 drum,n
buna,1 forehead,n
bunayus,shapeless figure,a
bunbun,fine sand,n
bun buyids,bon voyage,n
bungahuy,fruit tree,n
bungatud,"small hill, hillock",n
bung-aw,"chasm, narrow gorge",n
bunggalu,bungalow,n
bunggu,bongo drum,n
bunghayag,voluntary aid or service,a
bungtud,1 hill,n
bingut,"1 beard, mustache",n
bunhuk,mites infesting fowl,n
bun-i,ringworm,n
buntas,"famished, half-starved",a
buntaug,"towering, looming huge",a
buntay,"heavy in weight, weighty",a
bun-u,fat of fowls,n
bunut,coconut husk and shell,n
bupeti,law offices,n
buradur,"1 draft, rough draft",n
buraw,"stupid, having no sense",a
burd pit,board feet,n
burgahuy,"wandering, bumming around, esp",a
burgis,"tough, thug",n
burilyus,bowling pin,n
buringug,"dumb, stupid",a
birit,"braggart, offensively boastful",a
burlas,artificial tassel,n
burlis,burlesque,n
bursigi,army boots,n
burika,1 court case,n
burung,1 shy and introverted,a
burus,1 pregnant,a
busak,be all over s,a
busal,muzzle,n
busaug,floor joist,n
busay,waterfall,n
busena,1 auto horn,n
busing-ut,having a long face,a
bustipul,pith helmet,n
busyad,sticking-out stomach,a
busyu,goiter,n
butakal,1 male pig,n
butanika,botany,n
butaniku,botanist,n
butanti,voter,n
butasiyun,"vote, act of voting",n
buti,1 smallpox,n
buteka,drug store,n
butikaryu,pharmacist,n
bitil,"full, sated in eating",a
butilus,doing things poorly,a
butilya,bottle,n
buterik,having an expanded stomach,a
butirus,bulging of stomach,a
buteti,general name for pufferfishes,n
butlig,small cyst-like skin eruption,n
butlug,"swelling, small bulge",n
butsir,voucher asking for payment,n
butsukuy,philanderer,a
butun,button of a switch,n
butinis,buttons,n
buuk,"piece, single one",n
buulbiul,1 anklebone,n
bius,storehouse for farm produce,n
buwal,voile,n
buyagan,= bunsudbunsud,n
buyang-ang,1 wide open,a
buykuteyu,boycott,n
buylu,momentum,n
buynas,"lucky, fortunate",a
buyprind,boy friend,n
buy-un,fat on the stomach,n
buyung,highwayman,n
byahi,"1 trip, journey",n
byakrisis,way of the cross,n
byanggas,mange,n
byatu,"pious, devout man",a
byinbineda,welcome party,n
byi,"1 view, scenery",n
byida,widow,n
byidu,widower,n
byulin,violin,n
byiti parlur,beauty parlor,n
dabul bid,double bed,n
dabung,"1 young, immature",a
daghung,groan,n
dagir,1 dagger,n
dagetab,1 electric current,n
dagnay,nickname,n
dagsay,cymbals,n
dagtum,"dark grey, gloomy",a
dagihub,"hollow, rumbling sound",n
dagum,needle,n
dag-um,rain cloud,n
dagway,1 face,n
dahay,"sighs, bewailing of misfortune",n
dahinug,"continuous rumbling, roaring sound",n
dail,full moon,n
dakbalay,"large building, house",n
dakrun,dacron fiber,n
daktul,full moon,a
dal,1 doll,n
dalar,dollar,n
dalinian,= karbalyas,n
dalugdug,thunder,n
dalwak,hernia in the groin,n
dambil,dumbbell,n
damgu,dream,n
damili,dirty and sticky,a
damlag,1 future,n
dampuug,large amount of s,n
danag,half-conscious,a
dan-ag,light given off,n
dangay,1 = danglay,n
danghal,lacking alertness and attention,a
dangelag,kindling,n
dangput,room partition,n
dansbul,dodge ball game,n
daplin,"1 side, edge",n
dapul,holdup man,n
darling,1 darling,n
das,"dash, hyphen",n
das-ag,"1 abounding, swarming around",a
dasig,"lively, full of action",a
daspan,dustpan,n
dasuk,"compressed, compact",a
datag,level land,a
datslan,buffet,n
datus,"data, facts",n
dawin n,single banana,a
dawuntawun,1 downtown,n
dayabetis,diabetes,n
dayag,"clearly visible, obvious",a
dayagram,"diagram, sketch",n
dayal tun,dial tone,n
dayalug,1 dialogue,n
dayamitru,diameter,n
dayamun,1 baseball diamond,n
dayapir,diaper,n
dayari,diary,n
dayareya,diarrhea,n
day-as,foreign to a place,a
dayban,divan,n
dayhag,1 sloping downward,a
dayib,diving,n
dayis,1 dice,n
daynamu,dynamo,n
day-u,"foreigner, from another place",n
dayuk,preserved salted fish intestines,n
deban,divan,n
dibati,"debate, argument",n
dibaydir,1 room divider,n
dibidind,dividend,n
dibidindu,1 dividend,n
dibilapir,1 real estate developer,n
dibirsiyun,"diversion, recreation",n
dibisyun,division in mathematics,n
dibetir,debater,n
dibu,debut in high society,n
dibursiyu,divorce,n
dibusiyun,devotion to a saint,n
dibutanti,debutante,n
didal,thimble,n
didlayin,deadline,n
dignidad,dignity,n
degum,colored black all over,n
dikakaw,variety of croton,n
dikampana,1 bell-bottom pants,n
diklamasiyun,declamation,n
diklarasiyun,"1 declaration, formal statement",n
diklemir,declaimer,n
dikstrus,dextrose,n
diksiyunaryu,dictionary,n
diktadur,dictator,n
dekun,deacon,n
dilana,"wool, woolen",n
dilibiri buy,delivery boy,n
diligadu,delegate to a convention,n
dilikadesa,good sense of propriety,n
dilikadu,"1 perilous, in danger",a
dilinyadur,"draftsman, instrument for drafting",n
dilinyanti,draftsman,n
diliryu,delirium,n
dilitayim,daily time record,n
diletu,evidence of a crime,n
dimangga,variety of crotons,n
dimerit,demerit in military training,n
dimisiyun,resignation from a position,n
dimukrasya,democracy,n
dimukrata,democrat,n
dimunstrit,"= dimunstrasiyun, v",v
dimunyu,"1 demon, devil",n
dinameta,dynamite,n
dineru,"1 money, s",n
dintistri,dentistry,n
dinuminasiyun,1 denomination of money,n
dep,dip in ballroom dancing,n
dipiktu,defect,n
dipinsa,1 instrument for defending,n
dipesit,"deficit, shortage of money",n
diplima,1 diploma,n
diplumatiku,diplomat,n
diprisisiyun,depreciation in value,n
diputadu,congressman,n
dirami,1 leftover food,n
diriksiyun,"1 direction, management",n
dir-is,one’s monthly period,n
disgayis,disguise,n
disgustadu,1 disliking s,a
disgustawu,doing s,a
desil,Diesel,n
disimal,decimal point,n
disimbri,December,n
disintireya,dysentery,n
disinuybi,nineteen,n
disinyu,design of s,n
disiplena,discipline,n
disipulu,disciple of Christ,n
disirt,dessert,n
disisayis,sixteen,n
disisyeti,seventeen,n
disisyun,decision,n
disiutsu,eighteen,n
diskansu,1 front porch,n
diskasyun,discussion,n
diskuntintu,discontented,a
diskursu,speech,n
diskutik,1 discothèque,n
diskuwintu,discount,n
dismayar,1 = dismáyu,v
dispinsasiyun,dispensation in the church,n
dispiradu,in despair,a
distansiya,distance,n
distilireya,distillery,n
distinasiyun,destination,n
distretu,congressional or school district,n
distrisu,physical destruction,n
disturnilyadur,screwdriver,n
disyirtu,desert,n
det,date with a girl,n
ditiktib,detective,n
ditirminasiyun,determination,n
deya,1 day,n
diyablu,1 devil,n
diyisa,goddess,n
diyusesis,diocese,n
diyut,small in size,n
diyuy n,half-centavo copper coin,a
dragun,1 dragon,n
dramir,drummer,n
drams,set of drums,n
drap-awut,drop-outs from school,n
drapir,medicine dropper,n
dresing rum,dressing room,n
drisrihirsal n,final rehearsal of s,a
driwir,"drawer, desk, bureau",n
dubli,"double, twice as much",a
dibun,very dark in hue,a
dugbak,for s,a
dugmun,1 rags,n
dug payit,dogfight between fighter planes,n
digung,"dugong, k",n
dugus,"1 honey, nectar",n
duhadiha,"1 doubtful, unlikely",a
duhal,1 somewhat mentally retarded,a
dukesa,duchess,n
duktrena,doctrine,n
duktur,"1 doctor, physician",n
dukul,= dakul,v
duling,cross-eyed,a
duliyar,dollar,n
dulsi,"candy, sweets, fruit preserves",n
dilun,locust,n
dulurisu,"sad, sorrowful",a
dumbul,1 = bungdul,v
duminggu,Sunday,n
duminu,1 domino,n
dunasiyun,donation,n
dinat,doughnut,n
dunat intir,a one-way street,n
dungandingan,temples,n
dunsilya,1 virgin,a
dup-adik,dope addict,a
duplikadu,"duplicate, replica",n
duplikit,duplicate key,n
durabli,durable,a
duranti,"1 durable, long-lasting",a
durbil,doorbell,n
duryan,durian,n
dusena,dozen,n
dusipil,"1 the devil, Lucifer",n
duslug,"glutton, esp",a
diyan,hammock,n
diyug,musical accompaniment,n
dya- dyasingku,five-peso bill,n
dyaba,variety of cassava,n
dyablis,"jobless, unemployed",n
dyaki,briefs,n
dyakit,1 jacket,n
dyakpat,"jackpot, huge prize",n
dyakstun,1 game of jacks,n
dyalusi,jalousies,n
dyam,"jam, marmalade",n
dyamburi,boy scout jamboree,n
dyanitur,janitor,n
dyeli,jelly,n
dyilirul,jellyroll,n
dyem,"gym, gymnasium",n
dyimnastiks,gymnastics,n
dyimnasyum,gymnasium,n
dyinuwin,genuine,a
dyep,1 jeep,n
dyirk,dance called ‘the jerk’,n
dyirsi,"jersey, a k",n
dyismus,tithe,n
dyet,jet plane,n
dyibus,any powdered dye,n
dyuditsu,ju-jitsu,n
dyukbaks,juke box,n
dyilin,1 marbles,n
dyunbrayid,June bride,n
dyis,fruit or vegetable juice,n
gabardin,gabardine cloth,n
gabhang n,gaping tear or hole,a
gabei,1 night,n
gabineti,government cabinet,n
gaguy,"doing crazy, improper things",a
gahub,"noisy, tumultuous",a
gahum,power,n
gahung,pit trap,n
gakit,bamboo or log raft,n
galangan,small variety of balingbing,n
galaw,"twig, small branches",n
galbanisadu,galvanized,n
galihera,printer’s galley,n
gameting,"very, very tiny",a
gamisa,1 suede,n
gamut,root of plants,n
ganggang,= bunsudbunsud,n
gangkap,"complete, whole",a
gansal,"rough, not smooth-surfaced",a
gansung,whippletree of a plow,n
ganti,"1 reward, prize",n
gantuung,piled high,a
gapnud,"flotsam, s",n
garab,"bragging, boastful",a
garakgarak,"rough, uneven surface",a
garal,unwittingly stupid,a
garanggarang,"rough, uneven in surface",a
garapa,small bottle or vial,n
garapun,glass jar,n
garay,verse,n
garbu,pride,n
gardin,flower or vegetable garden,n
gardiyan,guardian of a child,n
garing,1 doll,n
garisun,garrison,n
garmint bag,garment bag,n
gas,1 kerosene,n
gaskit,gasket,n
gas mask,gas mask,n
gastadur,extravagant in spending,a
gastruintiraytis,gastroenteritis,n
gasulena,1 gasoline,n
gatilyu,trigger,n
gaung,weary-looking,a
gawang,1 door,n
gaway,tentacles,n
gigulu,gigolo,n
gihay,1 petal,n
gelak,"glitter, sparkle",n
gilit,razor blade,n
giluk,tickling sensation,a
gem,"1 game, sports competition",n
gintang,1 = ginta,n
gin-ut,1 stuffy and airless,n
giniu,"1 lord, God",n
gipang,1 lump of s,n
gera,1 war,n
girdul,girdle,n
girilya,guerilla,n
giring,ruffle,n
girera,"heroine, woman warrior",n
girnalda,"wreath, garland",n
gisantis,1 green peas,n
gitara,guitar,n
giwang,"fissure, narrow crack",n
giwatay,badly torn,a
geyaw,glitter of s,n
glab,1 gloves,n
gladiyila,gladiola,n
gluryisu,"glorious, delightful",a
graba,gravel,n
grabi,1 in serious condition,a
gradu,"1 rating, grade",n
gramatika,grammar,n
granada,1 pomegranate,n
granstan,grandstand,n
granu,1 grains,n
grapupunu,spring operated phonograph,n
grasa,grease,n
grasyisa,graceful,a
grasyisu,graceful,a
gratis,"free, gratis",a
grawundid,short-circuited,a
gred,grade given in school,n
gredir,road grader,n
gren,1 green color,a
greps,grapes,n
grepu,faucet,n
grispul,graceful in movement,a
gripu,group,n
grusiri,grocery store,n
gibat,1 war,n
gubin,"encumbrance, annoyance, s",n
gubirnadur,governor,n
gubirnu,government,n
gubut,1 tangled,a
gukam,clumsy,a
gulam,"1 small, esp",a
gilang,1 old in age,a
gulunggulung,baby’s rattle,n
gima,1 rubber,n
gumunhap,difficult problem,n
gum-us,"1 wrinkled, crumpled",a
ginat,texture of meat,n
gins,"goon, hired thugs",n
gunting,1 scissors,n
guntudguntud,coarsely rough and uneven,a
gunurya,gonorrhea,n
gusanu,thread of a screw,n
gusaw,name given to mullets,n
gustu,"liking, desire",n
gitum,1 hunger,n
guul,provoking sorrow and worry,a
guut,"1 tight, fitted tight",a
guyuguyu,larva of the mosquitoes,n
gwapu,"1 handsome, good-looking",a
gwardiya,1 guard,n
gwatsi,1 petty lie,n
gwayabanu,"soursop, a k",n
habi,hobby,n
habug,"1 high, lofty",a
habuhabu,light rain showers,n
habun,toilet soap,n
hadiyung,"whizzing, whistling, buzzing sound",n
hagakhak,"loud, boisterous laughter",n
hagkik,hot cakes,n
hagkut,1 sticky,a
hagtik,sharp clicking sound,n
hagtuk,loud knocking sound,n
hagubhub,"prolonged, low, booming sound",n
hagirus,wooshing,n
hait,1 sharp-edged,a
hakayhakay,somewhat relieved,a
hakuhak,eating or drinking s,a
halaghag,1 loosely woven,a
halegi,1 post,n
halu,monitor lizard,n
hamburdyir,hamburger sandwich,n
hamir,the hammer of firearms,n
hamluy,1 smooth and slippery,a
hanas,"proficient, skillful",a
hanayhay,rolling land,a
handag,"slanting, leaning",a
handalas,steep and slippery,a
hangir,clothes hanger,n
hangitan,selvage edge of s,n
han-grinid,hand grenade,n
hanimun,honeymoon,n
haneti,"skillful, proficient in s",a
hanlag,floor joists,n
hapslip,half slip,n
hapun,1 Japan,n
hara,queen,n
hardin,1 flower garden,n
hardul,1 hurdle in races,n
hardwir,hardware store,n
harim,harem,n
harena,flour,n
hasag,pressurized kerosene lamp,n
hasang,gills,n
hasinderu,= asindíru,n
hatdug,hot dog,n
hatsit,sumptuous meal,n
haum,1 fitting well,a
haw-ang,1 empty,a
hawas,congressman,n
haway,1 Hawaii,n
hay-alay,1 jai-alai,n
hayblad,high blood pressure,n
hayhat,haughty and snobbish,a
hayhil,high heels,n
hayiskul,high school,n
hayit,height,n
hayup,1 domestic animal,n
haywi,highway,n
hebat,"unsymmetrical, crookedly done",a
hibi dyiti,made for heavy duty,a
hibiwit,heavyweight in boxing,a
hibulus,diarrhea,n
hed,"chief, boss",n
hidban,headband,n
hidkwartir,headquarters,n
hidlayit,headlights,n
higanti,1 giant,a
higpit,"1 narrow, for s",a
hiktin,1 narrower than normal,a
helas,"obscene, lewd",a
hilaw,"1 uncooked, raw",a
hilhig,for s,a
hilikuptir,helicopter,n
hilera,line of objects,n
hilit,"secluded, isolated in location",a
hilmit,helmet,n
hilt sintir,public health clinic,n
hilu,poison ingested,n
helu,thread,n
helum,"1 silent, quiet",a
himelu,cufflinks,n
himsug,robust and full,a
himurids,hemorrhage,n
himus,cuddly and plump,a
henag,"sparse, loosely woven",a
hinagiban,1 weapon,n
hindian,"particular, choosy about food",a
hindik,"neat, orderly, clean",a
hingpit,"1 complete, nothing lacking",a
hiniral,1 general officer,n
hiniru,types of course served,n
hintil,"Gentile, non-Jew",n
hinug,1 ripe,a
hinyu,genius,n
hepun,1 tiny shrimp,n
hirdu,"hair-do, coiffure",n
hirig,in a leaning position,a
hiringgilya,hypodermic syringe,n
hirniya,hernia,n
hirpin,hairpin,n
hirsayans,beautician’s course,n
hisukristu,Jesus Christ,n
hisipu,hyssop,n
hit-anran,1 hit-and-run,n
hiyiba,Jehovah,n
hibad,1 = hulbad,v
hibak,asthma,n
hubug,"drunk, intoxicated",a
hibung,full and plump,a
hidas,Judas Iscariot or St,n
hudeya,Judea,n
hudeyu,1 Jew,n
hugadur a,habitual gambler,a
higaw,"1 dirty, unclean",a
hugunhigun,talk about doing s,n
hulding,holding in volleyball,a
hulmegas,small biting red ants,n
hulsil,wholesale,n
hulungehung,rumors,n
hulyu,1 July,n
humay,general term for rice,n
humil,"soft, pliant, and supple",a
humisayid,homicide,n
humran,home run in baseball,n
humrum,homeroom in school,n
humulhimul,"soft, fluffy",a
humut,1 sweet-smelling,a
hunas,1 low tide,n
hunda,motorcycle,n
hungay,"loose, not firmly embedded",a
hungkung,1 Hong Kong,n
hini,"song, musical sounds",n
hinit,1 tough and resilient,a
hunsuy,1 pipe for smoking,n
hupyak,sunken,a
huradu,judge for contests,n
huramintu,1 oath-taking,n
hurisdiksiyun,jurisdiction,n
hurspawir,horsepower,n
hisay,"1 orderly, without confusion",a
huspital,hospital,n
hita,letter J,n
hutay,line hung for drying,n
hutil,hotel,n
hutluk,drunk,a
hutihut,cool breeze,n
hut-ung,1 layer or section,n
huwis,judge,n
hiyang,"1 rickety, shaky",a
huybis,Thursday,n
huyihuy,breeze,n
ibakwisyun,evacuation,n
ibanghilista,1 evangelist,n
ibapurada,evaporated milk,n
ibat,= libat,a
ebay,1 woman,n
ibinrud,outboard motor boat,n
ebug,attracted,a
ibyuk,"sugar palm, a k",n
idibul,cooking oil,n
idintipikasiyun,identification card,n
idipisyu,building,n
idisyun,edition,n
iditing,editing,n
iditur,editor,n
idituryal,editorial,n
idiyuluheya,ideology,n
idru,airplane,n
idruhena,hydrogen,n
idyukisyun,teacher training course,n
